season,team_name,team_abbr,playoff_games,po_ft_rate,season_label,reg_ft_rate,reg_ft_rate_allowed,po_ft_rate_allowed,ft_rate_change,ft_rate_allowed_change,net_ft_rate_swing
2017,Houston Rockets,HOU,11,0.3037433155080214,2016-17,0.3043903803131991,0.2496568762009333,0.26727642276422764,-0.0006470648051776773,0.01761954656329434,-0.01826661136847202
2017,Indiana Pacers,IND,4,0.2471264367816092,2016-17,0.2612898571634685,0.2857142857142857,0.32326283987915405,-0.014163420381859276,0.03754855416486835,-0.05171197454672763
2017,Los Angeles Clippers,LAC,7,0.3116883116883117,2016-17,0.3120234604105572,0.2738962708958423,0.30754716981132074,-0.00033514872224549297,0.033650898915478455,-0.03398604763772395
2017,Memphis Grizzlies,MEM,6,0.2634989200863931,2016-17,0.2798365917712285,0.34060324825986077,0.32181425485961124,-0.01633767168483541,-0.018788993400249532,0.002451321715414123
2017,Milwaukee Bucks,MIL,6,0.26652452025586354,2016-17,0.2738644825018615,0.27932960893854747,0.34684684684684686,-0.007339962245997977,0.06751723790829939,-0.07485720015429737
2017,Oklahoma City Thunder,OKC,5,0.30892448512585813,2016-17,0.2947412470358488,0.2852243498142326,0.4009546539379475,0.01418323809000932,0.11573030412371488,-0.10154706603370556
2017,Portland Trail Blazers,POR,4,0.2709497206703911,2016-17,0.2748264626717665,0.3073985004951195,0.32664756446991405,-0.003876742001375444,0.019249063974794534,-0.023125805976169977
2017,San Antonio Spurs,SAS,16,0.27653429602888085,2016-17,0.2631118881118881,0.2493054540137447,0.25549658832448824,0.013422407916992729,0.006191134310743529,0.0072312736062492
2017,Toronto Raptors,TOR,10,0.2830188679245283,2016-17,0.29314830875975717,0.2864284664019997,0.2947903430749682,-0.010129440835228876,0.008361876672968505,-0.01849131750819738
2017,Utah Jazz,UTA,11,0.29814385150812067,2016-17,0.28779739063699156,0.25301204819277107,0.2963386727688787,0.010346460871129115,0.04332662457610764,-0.03298016370497853
2017,Washington Wizards,WAS,13,0.28094820017559263,2016-17,0.25388818831441784,0.2840355402694182,0.31675874769797424,0.027060011861174793,0.032723207428556056,-0.005663195567381263
2018,Boston Celtics,BOS,19,0.28255372945638435,2017-18,0.24329749103942652,0.2506811989100817,0.27490297542043984,0.03925623841695783,0.024221776510358117,0.015034461906599711
2018,Cleveland Cavaliers,CLE,22,0.28206551915602446,2017-18,0.27467625899280573,0.2193976236529428,0.2515235457063712,0.007389260163218725,0.0321259220534284,-0.024736661890209677
2018,Golden State Warriors,GSW,21,0.2369878183831672,2017-18,0.23896848137535817,0.2448509485094851,0.24074074074074073,-0.0019806629921909624,-0.004110207768744378,0.002129544776553416
2018,Houston Rockets,HOU,17,0.26068965517241377,2017-18,0.29843614248479583,0.22944278181559072,0.2505338078291815,-0.03774648731238206,0.02109102601359078,-0.05883751332597284
2018,Indiana Pacers,IND,7,0.24064171122994651,2017-18,0.22208103910772273,0.23040414209693658,0.31273408239700373,0.018560672122223787,0.08232994030006716,-0.06376926817784337
2018,Miami Heat,MIA,5,0.34541062801932365,2017-18,0.2288123481492068,0.2742616033755274,0.36384439359267734,0.11659827987011684,0.08958279021714993,0.027015489652966906
2018,Milwaukee Bucks,MIL,7,0.25364963503649635,2017-18,0.2813280446599089,0.28059440559440557,0.2905982905982906,-0.02767840962341256,0.010003885003885049,-0.03768229462729761
2018,Minnesota Timberwolves,MIN,5,0.27602905569007263,2017-18,0.2803341356364151,0.2424373379429559,0.2590909090909091,-0.004305079946342494,0.016653571147953183,-0.020958651094295677
2018,New Orleans Pelicans,NOP,9,0.2042079207920792,2017-18,0.236983842010772,0.22270858204005836,0.21394230769230768,-0.0327759212186928,-0.00876627434775068,-0.02400964687094212
2018,Oklahoma City Thunder,OKC,6,0.24470134874759153,2017-18,0.2748926741448553,0.2517066085693537,0.3089108910891089,-0.03019132539726377,0.057204282519755234,-0.087395607917019
2018,Philadelphia 76ers,PHI,10,0.319774011299435,2017-18,0.26317272471118625,0.29255393180236605,0.32091346153846156,0.056601286588248756,0.028359529736095512,0.028241756852153244
2018,Portland Trail Blazers,POR,4,0.17307692307692307,2017-18,0.2404655075715087,0.25603521726782164,0.25970149253731345,-0.06738858449458562,0.0036662752694918144,-0.07105485976407744
2018,San Antonio Spurs,SAS,5,0.2744630071599045,2017-18,0.2450350050007144,0.22413543626103313,0.2463768115942029,0.029428002159190114,0.022241375333169777,0.007186626826020337
2018,Toronto Raptors,TOR,10,0.29040097205346294,2017-18,0.24968614869577346,0.27661393758016245,0.26627906976744187,0.04071482335768947,-0.010334867812720583,0.051049691170410055
2018,Utah Jazz,UTA,11,0.28399122807017546,2017-18,0.25982050904810944,0.24691358024691357,0.24344176285414482,0.024170719022066023,-0.00347181739276875,0.027642536414834773
2018,Washington Wizards,WAS,6,0.273972602739726,2017-18,0.2544884582502137,0.2791269152934374,0.29979879275653926,0.0194841444895123,0.02067187746310184,-0.0011877329735895392
2019,Boston Celtics,BOS,9,0.28797886393659183,2018-19,0.21527684224706992,0.2592079756300194,0.27918781725888325,0.07270202168952192,0.019979841628863848,0.05272218006065807
2019,Brooklyn Nets,BRK,5,0.31947483588621445,2018-19,0.28377276433813536,0.24693312227938266,0.2982832618025751,0.035702071548079084,0.05135013952319242,-0.01564806797511334
2019,Denver Nuggets,DEN,14,0.27949326999208235,2018-19,0.23212351029252437,0.2571993224167137,0.27929373996789725,0.04736975969955798,0.02209441755118352,0.025275342148374458
2019,Detroit Pistons,DET,4,0.17054263565891473,2018-19,0.2615363360044211,0.2793801119242359,0.32463768115942027,-0.09099370034550638,0.04525756923518437,-0.13625126958069075
2019,Golden State Warriors,GSW,22,0.28232189973614774,2018-19,0.22714305121586742,0.265961718645429,0.3004223864836325,0.05517884852028032,0.03446066783820351,0.020718180682076814
2019,Houston Rockets,HOU,11,0.289587852494577,2018-19,0.2793522267206478,0.2735716296087813,0.28541448058761804,0.010235625773929224,0.01184285097883675,-0.0016072252049075253
2019,Indiana Pacers,IND,4,0.24550898203592814,2018-19,0.24204625087596357,0.2433772489021108,0.271875,0.003462731159964566,0.028497751097889185,-0.02503501993792462
2019,Los Angeles Clippers,LAC,6,0.3233644859813084,2018-19,0.3259960991919755,0.2882510013351135,0.2902621722846442,-0.002631613210667072,0.002011170949530683,-0.004642784160197755
2019,Milwaukee Bucks,MIL,15,0.3169811320754717,2018-19,0.25485209476643017,0.22088929456252446,0.2577777777777778,0.06212903730904151,0.036888483215253315,0.025240554093788198
2019,Oklahoma City Thunder,OKC,5,0.29534883720930233,2018-19,0.26589670386711656,0.27103960396039606,0.2651685393258427,0.02945213334218577,-0.005871064634553336,0.03532319797673911
2019,Orlando Magic,ORL,5,0.2674698795180723,2018-19,0.21554673600656904,0.23897007654836463,0.1895734597156398,0.051923143511503234,-0.04939661683272484,0.10131976034422807
2019,Philadelphia 76ers,PHI,12,0.30097087378640774,2018-19,0.31218028480575144,0.26791899813482545,0.3037608486017358,-0.011209411019343696,0.03584185046691035,-0.04705126148625405
2019,Portland Trail Blazers,POR,16,0.27436074637180374,2018-19,0.25770836138413894,0.25297941495124593,0.29378925331472433,0.016652384987664803,0.0408098383634784,-0.024157453375813598
2019,San Antonio Spurs,SAS,7,0.2701342281879195,2018-19,0.23730684326710816,0.2249116127277672,0.23973727422003285,0.03282738492081133,0.014825661492265663,0.01800172342854567
2019,Toronto Raptors,TOR,24,0.2748279252704032,2018-19,0.24681724845995892,0.24877584330794342,0.30110220440881763,0.02801067681044425,0.052326361100874214,-0.024315684290429962
2019,Utah Jazz,UTA,5,0.2962962962962963,2018-19,0.2953967805704603,0.2512063973528195,0.28978622327790976,0.0008995157258359643,0.03857982592509024,-0.037680310199254274
2020,Boston Celtics,BOS,17,0.2853185595567867,2019-20,0.2586848635235732,0.28095086151882576,0.2913816689466484,0.026633696033213472,0.010430807427822653,0.01620288860539082
2020,Brooklyn Nets,BRK,4,0.2684931506849315,2019-20,0.2665435518621114,0.2429724880382775,0.25824175824175827,0.0019495988228200867,0.015269270203480761,-0.013319671380660675
2020,Dallas Mavericks,DAL,6,0.297196261682243,2019-20,0.2638806851742469,0.22976121141525918,0.3049907578558225,0.0333155765079961,0.07522954644056334,-0.04191396993256724
2020,Denver Nuggets,DEN,19,0.25956632653061223,2019-20,0.23520345252774352,0.26033909047694503,0.299167200512492,0.024362874002868712,0.03882811003554698,-0.01446523603267827
2020,Houston Rockets,HOU,12,0.23517978620019436,2019-20,0.2880835380835381,0.2589163757778115,0.27191235059760954,-0.05290375188334373,0.012995974819798028,-0.06589972670314176
2020,Indiana Pacers,IND,4,0.2523364485981308,2019-20,0.21573486139073875,0.24415544201888836,0.3684210526315789,0.03660158720739207,0.12426561061269056,-0.0876640234052985
2020,Los Angeles Clippers,LAC,13,0.29118432769367764,2019-20,0.2947859922178988,0.27194333230674467,0.2783318223028105,-0.003601664524221171,0.006388489996065838,-0.009990154520287009
2020,Los Angeles Lakers,LAL,21,0.2925170068027211,2019-20,0.2756420481735524,0.2628091158881526,0.3112931538911644,0.016874958629168657,0.04848403800301182,-0.03160907937384316
2020,Miami Heat,MIA,21,0.3221125943122461,2019-20,0.2987012987012987,0.27189377173569396,0.27288040426726556,0.023411295610947402,0.0009866325315716074,0.022424663079375795
2020,Milwaukee Bucks,MIL,10,0.27898966704936856,2019-20,0.27116601385959627,0.22602739726027396,0.2850412249705536,0.007823653189772295,0.05901382771027966,-0.051190174520507364
2020,Oklahoma City Thunder,OKC,7,0.2809364548494983,2019-20,0.29028589993502274,0.21815928106600557,0.18110236220472442,-0.009349445085524433,-0.03705691886128115,0.02770747377575672
2020,Orlando Magic,ORL,5,0.23702031602708803,2019-20,0.2560296846011132,0.22781018445530507,0.24772727272727274,-0.01900936857402516,0.01991708827196767,-0.03892645684599283
2020,Philadelphia 76ers,PHI,4,0.38095238095238093,2019-20,0.2552594670406732,0.2846215139442231,0.3130434782608696,0.12569291391170773,0.02842196431664651,0.09727094959506122
2020,Portland Trail Blazers,POR,5,0.2834467120181406,2019-20,0.24181360201511334,0.26957675859017843,0.3167420814479638,0.041633110003027246,0.04716532285778535,-0.005532212854758106
2020,Toronto Raptors,TOR,11,0.24049331963001028,2019-20,0.26378139314484284,0.26261990879069036,0.2751322751322751,-0.023288073514832558,0.012512366341584757,-0.035800439856417315
2020,Utah Jazz,UTA,7,0.2844677137870855,2019-20,0.267699836867863,0.24076671341748482,0.19900497512437812,0.016767876919222546,-0.0417617382931067,0.058529615212329245
2021,Atlanta Hawks,ATL,18,0.2407170294494238,2020-21,0.2778220028657857,0.2366780928638205,0.2731333758774729,-0.037104973416361875,0.03645528301365239,-0.07356025643001426
2021,Boston Celtics,BOS,5,0.31065759637188206,2020-21,0.23371348226839556,0.27329995154256176,0.32387706855791965,0.0769441141034865,0.050577117015357886,0.02636699708812862
2021,Brooklyn Nets,BRK,12,0.23500967117988394,2020-21,0.2580696454126252,0.2409858512094934,0.2530459231490159,-0.02305997423274128,0.012060071939522521,-0.0351200461722638
2021,Dallas Mavericks,DAL,7,0.23255813953488372,2020-21,0.242404962621282,0.2585739352368799,0.29285714285714287,-0.009846823086398282,0.03428320762026299,-0.04413003070666127
2021,Denver Nuggets,DEN,10,0.22668112798264642,2020-21,0.21893491124260356,0.2584160026020491,0.256,0.0077462167400428605,-0.0024160026020491054,0.010162219342091966
2021,Los Angeles Clippers,LAC,19,0.2896596017983301,2020-21,0.22220442165972445,0.23927366222079383,0.2270203578038248,0.06745518013860566,-0.012253304416969035,0.0797084845555747
2021,Los Angeles Lakers,LAL,6,0.29518072289156627,2020-21,0.2709375504276263,0.23710014467127472,0.2525458248472505,0.024243172463939977,0.015445680175975807,0.00879749228796417
2021,Memphis Grizzlies,MEM,5,0.21610169491525424,2020-21,0.2324455205811138,0.24863002974792547,0.30324074074074076,-0.016343825665859568,0.05461071099281528,-0.07095453665867485
2021,Miami Heat,MIA,4,0.226890756302521,2020-21,0.25211477857024384,0.233827603063386,0.23544973544973544,-0.02522402226772283,0.001622132386349423,-0.026846154654072252
2021,Milwaukee Bucks,MIL,23,0.22816229116945108,2020-21,0.23282904689863843,0.20185406698564592,0.19740777666999004,-0.004666755729187344,-0.004446290315655882,-0.0002204654135314621
2021,New York Knicks,NYK,5,0.2523148148148148,2020-21,0.2419277108433735,0.2573683362860364,0.22641509433962265,0.010387103971441325,-0.030953241946413745,0.04134034591785507
2021,Philadelphia 76ers,PHI,12,0.34207968901846453,2020-21,0.2934313568802941,0.2620226873302445,0.30484330484330485,0.048648332138170436,0.04282061751306038,0.005827714625110059
2021,Phoenix Suns,PHO,22,0.21859967931587387,2020-21,0.21189240207645116,0.2496798975672215,0.25918153200419725,0.006707277239422715,0.009501634436975742,-0.002794357197553027
2021,Portland Trail Blazers,POR,6,0.25660377358490566,2020-21,0.2375724306190912,0.25774980330448466,0.26691042047531993,0.019031342965814463,0.009160617170835272,0.00987072579497919
2021,Utah Jazz,UTA,11,0.28833693304535635,2020-21,0.24369482976040352,0.20726333383984197,0.2517985611510791,0.04464210328495283,0.04453522731123716,0.00010687597371566993
2021,Washington Wizards,WAS,5,0.327313769751693,2020-21,0.2877653887276615,0.27722171671216256,0.3325892857142857,0.03954838102403152,0.05536756900212314,-0.01581918797809162
2022,Atlanta Hawks,ATL,5,0.2813299232736573,2021-22,0.25258942135064216,0.22401974225390733,0.24766355140186916,0.028740501923015138,0.023643809147961825,0.005096692775053313
2022,Boston Celtics,BOS,24,0.28338430173292556,2021-22,0.23901213897028045,0.23431657665143332,0.23247945867568873,0.044372162762645107,-0.0018371179757445955,0.0462092807383897
2022,Brooklyn Nets,BRK,4,0.3301282051282051,2021-22,0.24562129361467383,0.2553076402974983,0.27002967359050445,0.08450691151353129,0.014722033293006143,0.06978487822052515
2022,Chicago Bulls,CHI,5,0.15964523281596452,2021-22,0.2477900940086993,0.2509065550906555,0.24651162790697675,-0.08814486119273479,-0.0043949271836787596,-0.08374993400905603
2022,Dallas Mavericks,DAL,18,0.28865979381443296,2021-22,0.24906903466055572,0.24125124982145407,0.2680272108843537,0.03959075915387725,0.026775961062899645,0.012814798090977603
2022,Denver Nuggets,DEN,5,0.30434782608695654,2021-22,0.24367848566181663,0.24874441964285715,0.3284313725490196,0.06066934042513991,0.07968695290616246,-0.019017612481022544
2022,Golden State Warriors,GSW,22,0.22955145118733508,2021-22,0.23493720897417808,0.2648633417864187,0.2696808510638298,-0.0053857577868429984,0.004817509277411092,-0.01020326706425409
2022,Memphis Grizzlies,MEM,12,0.2965328467153285,2021-22,0.2452513244605246,0.25271701747145414,0.2627526467757459,0.05128152225480387,0.010035629304291749,0.04124589295051212
2022,Miami Heat,MIA,18,0.2526041666666667,2021-22,0.2520851308599367,0.2679349404589021,0.3078571428571429,0.0005190358067299616,0.03992220239824079,-0.03940316659151083
2022,Milwaukee Bucks,MIL,12,0.23579545454545456,2021-22,0.256581639612604,0.2198896514600996,0.2080536912751678,-0.020786185067149437,-0.011835960184931799,-0.008950224882217639
2022,Minnesota Timberwolves,MIN,6,0.34146341463414637,2021-22,0.2539554840439796,0.2905207315370655,0.3681214421252372,0.08750793059016676,0.0776007105881717,0.009907220001995065
2022,New Orleans Pelicans,NOP,6,0.34189723320158105,2021-22,0.2638657792567942,0.2501070052789271,0.23943661971830985,0.07803145394478683,-0.010670385560617252,0.08870183950540408
2022,Philadelphia 76ers,PHI,12,0.2896698615548456,2021-22,0.2820253894979804,0.24982386924052416,0.25688976377952755,0.0076444720568651925,0.007065894539003387,0.0005785775178618058
2022,Phoenix Suns,PHO,13,0.22862453531598512,2021-22,0.22127486804709703,0.25693773298357037,0.3063314711359404,0.007349667268888083,0.049393738152370026,-0.04204407088348194
2022,Toronto Raptors,TOR,6,0.2441860465116279,2021-22,0.23354252904259581,0.2517704870646047,0.32409381663113007,0.010643517469032082,0.07232332956652537,-0.06167981209749329
2022,Utah Jazz,UTA,6,0.33544303797468356,2021-22,0.2711192868260931,0.2160426345996174,0.27479338842975204,0.06432375114859046,0.058750753830134644,0.0055729973184558135
2023,Atlanta Hawks,ATL,6,0.17647058823529413,2022-23,0.24425666754687086,0.25669099756691,0.18299445471349354,-0.06778607931157674,-0.07369654285341645,0.005910463541839717
2023,Boston Celtics,BOS,20,0.23391812865497075,2022-23,0.2430612805715856,0.23437922639978362,0.21848260125499144,-0.009143151916614856,-0.015896625144792176,0.00675347322817732
2023,Brooklyn Nets,BRK,4,0.23624595469255663,2022-23,0.2595299512754371,0.27600937026319416,0.1783625730994152,-0.023283996582880467,-0.09764679716377897,0.0743628005808985
2023,Cleveland Cavaliers,CLE,5,0.2372448979591837,2022-23,0.26403207331042383,0.26843873229151455,0.3031026252983294,-0.026787175351240144,0.03466389300681483,-0.06145106835805497
2023,Denver Nuggets,DEN,20,0.2571262361838278,2022-23,0.2587471783295711,0.25969857661177786,0.24430157802454705,-0.0016209421457433204,-0.015396998587230815,0.013776056441487494
2023,Golden State Warriors,GSW,13,0.21035332785538208,2022-23,0.22386040849452185,0.27845884413309985,0.2874049027895182,-0.013507080639139774,0.008946058656418343,-0.022453139295558117
2023,Los Angeles Clippers,LAC,5,0.2979683972911964,2022-23,0.2779430514237144,0.25293386718210686,0.3325635103926097,0.020025345867482003,0.07962964321050281,-0.05960429734302081
2023,Los Angeles Lakers,LAL,16,0.2847919655667145,2022-23,0.29898602356810083,0.22161600415692387,0.1842456608811749,-0.014194058001386345,-0.03737034327574898,0.023176285274362635
2023,Memphis Grizzlies,MEM,6,0.20104895104895104,2022-23,0.25877367236127663,0.26218601493550575,0.23897058823529413,-0.05772472131232559,-0.023215426700211622,-0.03450929461211397
2023,Miami Heat,MIA,23,0.22784176264396594,2022-23,0.2696323844943499,0.2532981530343008,0.28258602711157454,-0.04179062185038396,0.029287874077273734,-0.07107849592765769
2023,Milwaukee Bucks,MIL,5,0.23110151187904968,2022-23,0.2478747807313453,0.2248822605965463,0.22939866369710468,-0.01677326885229563,0.004516403100558369,-0.021289671952854
2023,Minnesota Timberwolves,MIN,5,0.2929782082324455,2022-23,0.27096414120273477,0.29311529476432596,0.24829157175398633,0.02201406702971076,-0.04482372301033963,0.06683779004005039
2023,New York Knicks,NYK,11,0.32924107142857145,2022-23,0.2847980349344978,0.2687785309171393,0.26019845644983464,0.04444303649407366,-0.008580074467304688,0.05302311096137835
2023,Philadelphia 76ers,PHI,11,0.22727272727272727,2022-23,0.2995633187772926,0.2773733047822984,0.24526198439241917,-0.07229059150456532,-0.03211132038987921,-0.04017927111468611
2023,Phoenix Suns,PHO,11,0.26910994764397905,2022-23,0.24106659447753112,0.29826802952867687,0.27852004110996914,0.028043353166447932,-0.01974798841870773,0.04779134158515566
2023,Sacramento Kings,SAC,7,0.26905829596412556,2022-23,0.2841537610619469,0.25823271130625686,0.2732919254658385,-0.015095465097821337,0.015059214159581669,-0.030154679257403005
2024,Boston Celtics,BOS,19,0.23038292529817953,2023-24,0.22363439697133586,0.18922155688622755,0.16553428042001236,0.006748528326843667,-0.023687276466215185,0.03043580479305885
2024,Cleveland Cavaliers,CLE,12,0.2037962037962038,2023-24,0.2337716843872412,0.24024526198439242,0.26452905811623245,-0.029975480591037384,0.024283796131840035,-0.05425927672287742
2024,Dallas Mavericks,DAL,22,0.2731253420908593,2023-24,0.250544069640914,0.23903952515850532,0.23845327604726102,0.02258127244994529,-0.0005862491112443025,0.02316752156118959
2024,Denver Nuggets,DEN,12,0.19569471624266144,2023-24,0.22365709575491138,0.2522884882108183,0.24873096446700507,-0.027962379512249946,-0.0035575237438132123,-0.024404855768436734
2024,Indiana Pacers,IND,17,0.18375499334221038,2023-24,0.22173970259244638,0.2893628583072952,0.2631578947368421,-0.037984709250236004,-0.0262049635704531,-0.011779745679782905
2024,Los Angeles Clippers,LAC,6,0.26369168356997974,2023-24,0.2556274620146314,0.23572996706915478,0.3184584178498986,0.008064221555348361,0.08272845078074381,-0.07466422922539545
2024,Los Angeles Lakers,LAL,5,0.2222222222222222,2023-24,0.27629928939668386,0.19201248861714584,0.17324561403508773,-0.054077067174461646,-0.018766874582058113,-0.03531019259240353
2024,Miami Heat,MIA,5,0.1477832512315271,2023-24,0.25719168328111647,0.22349773242630386,0.25307125307125306,-0.10940843204958936,0.029573520644949197,-0.13898195269453856
2024,Milwaukee Bucks,MIL,6,0.24517374517374518,2023-24,0.2700468448608432,0.23404537614435453,0.1977818853974122,-0.024873099687098,-0.03626349074694232,0.011390391059844324
2024,Minnesota Timberwolves,MIN,16,0.2850678733031674,2023-24,0.2697160883280757,0.2521788023615406,0.27258444619010214,0.015351784975091709,0.020405643828561526,-0.005053858853469817
2024,New Orleans Pelicans,NOP,4,0.1893491124260355,2023-24,0.2614096301465457,0.23745632424877708,0.21341463414634146,-0.07206051772051023,-0.02404169010243562,-0.048018827618074605
2024,New York Knicks,NYK,13,0.2775831873905429,2023-24,0.24601210121012101,0.23057216054654142,0.23727272727272727,0.03157108618042187,0.006700566726185853,0.024870519454236018
2024,Oklahoma City Thunder,OKC,10,0.21561771561771562,2023-24,0.24016930638995085,0.2564872985523081,0.2332155477031802,-0.024551590772235232,-0.023271750849127915,-0.0012798399231073176
2024,Orlando Magic,ORL,7,0.29931972789115646,2023-24,0.2874784606547961,0.26423590935502617,0.25704225352112675,0.011841267236360364,-0.007193655833899415,0.01903492307025978
2024,Philadelphia 76ers,PHI,6,0.296,2023-24,0.26381121265857316,0.2713440405748098,0.2681564245810056,0.03218878734142683,-0.003187615993804238,0.035376403335231066
2024,Phoenix Suns,PHO,4,0.3696369636963696,2023-24,0.2711312473453207,0.22953688745288098,0.3333333333333333,0.09850571635104893,0.10379644588045234,-0.005290729529403404
2025,Boston Celtics,BOS,11,0.2727272727272727,2024-25,0.21200216743429964,0.19792661301323147,0.268370607028754,0.060725105292973064,0.07044399401552251,-0.009718888722549446
2025,Cleveland Cavaliers,CLE,9,0.31772151898734174,2024-25,0.2408651262761956,0.23235846525355514,0.23097463284379172,0.07685639271114614,-0.0013838324097634191,0.07824022512090956
2025,Denver Nuggets,DEN,14,0.27250206440957886,2024-25,0.259375,0.22244068685279852,0.25120772946859904,0.013127064409578837,0.028767042615800514,-0.015639978206221677
2025,Detroit Pistons,DET,6,0.33669354838709675,2024-25,0.247996740459052,0.27586685159500696,0.2656546489563567,0.08869680792804474,-0.010212202638650247,0.09890901056669499
2025,Golden State Warriors,GSW,12,0.23976608187134502,2024-25,0.2443335132218025,0.2458602301431378,0.3026315789473684,-0.004567431350457479,0.056771348804230626,-0.061338780154688105
2025,Houston Rockets,HOU,7,0.3472222222222222,2024-25,0.24167645906776342,0.24516841524019878,0.20098846787479407,0.1055457631544588,-0.044179947365404704,0.1497257105198635
2025,Indiana Pacers,IND,23,0.2922680412371134,2024-25,0.24133224133224132,0.24511665762344004,0.33684738955823296,0.0509357999048721,0.09173073193479292,-0.04079493202992082
2025,Los Angeles Clippers,LAC,7,0.23141891891891891,2024-25,0.25102473498233213,0.24502275312855518,0.23115577889447236,-0.019605816063413217,-0.013866974234082813,-0.005738841829330404
2025,Los Angeles Lakers,LAL,5,0.26903553299492383,2024-25,0.2714428428714143,0.22953955458395955,0.28045977011494255,-0.00240730987649046,0.050920215530983,-0.05332752540747346
2025,Memphis Grizzlies,MEM,4,0.23631123919308358,2024-25,0.24928142147896526,0.26736618408819235,0.2584856396866841,-0.012970182285881676,-0.008880544401508261,-0.004089637884373415
2025,Miami Heat,MIA,4,0.16257668711656442,2024-25,0.2317175679462034,0.2021481685486092,0.24561403508771928,-0.06914088082963898,0.04346586653911008,-0.11260674736874907
2025,Milwaukee Bucks,MIL,5,0.255125284738041,2024-25,0.26757977972324204,0.22226682724474775,0.22654462242562928,-0.012454494985201015,0.004277795180881533,-0.016732290166082547
2025,Minnesota Timberwolves,MIN,15,0.25585023400936036,2024-25,0.2490949596212754,0.23208096492444197,0.2719298245614035,0.006755274388084959,0.03984885963696155,-0.033093585248876595
2025,New York Knicks,NYK,18,0.2999357739242132,2024-25,0.23185235816814764,0.2228865406006674,0.29423328964613366,0.06808341575606558,0.07134674904546626,-0.0032633332894006772
2025,Oklahoma City Thunder,OKC,23,0.2899322362052275,2024-25,0.22,0.2723702664796634,0.28796343321482987,0.06993223620522751,0.015593166735166475,0.054339069470061035
2025,Orlando Magic,ORL,5,0.24407582938388625,2024-25,0.26869491043502985,0.2868263473053892,0.33076923076923076,-0.024619081051143604,0.043942883463841564,-0.06856196451498517
